ts,temp,rh,pop,precip_mm,temp_f,weather_condition,weather_emoji,snow_in
2025-12-28 11:00:00,3.175128869403572,79.69615242270663,0.4,0.1747422680412371,37.71523196492643,Sunny,☀️,0.0
2025-12-28 12:00:00,3.620101012677667,78.74264068711929,0.4,0.2329896907216495,38.5161818228198,Sunny,☀️,0.0
2025-12-28 13:00:00,4.2,77.5,0.4,0.2912371134020619,39.56,Sunny,☀️,0.0
2025-12-28 14:00:00,4.875306673712942,76.05291427061512,0.4,0.3494845360824742,40.77555201268329,Sunny,☀️,0.0
2025-12-28 15:00:00,5.6,74.5,0.4,0.3494845360824742,42.08,Sunny,☀️,0.0
2025-12-28 16:00:00,6.324693326287058,72.94708572938488,0.4,0.3494845360824742,43.38444798731671,Sunny,☀️,0.0
2025-12-28 17:00:00,6.999999999999999,71.5,0.4,0.2912371134020619,44.6,Sunny,☀️,0.0
2025-12-28 18:00:00,7.579898987322332,70.25735931288071,0.4,0.2329896907216495,45.6438181771802,Sunny,☀️,0.0
2025-12-28 19:00:00,8.024871130596427,69.30384757729337,0.4,0.1747422680412371,46.444768035073565,Sunny,☀️,0.0
2025-12-28 20:00:00,8.30459231360939,68.70444504226559,0.4,0.1747422680412371,46.9482661644969,Sunny,☀️,0.0
2025-12-28 21:00:00,8.399999999999999,68.5,0.4,0.1747422680412371,47.12,Sunny,☀️,0.0
2025-12-28 22:00:00,8.30459231360939,68.70444504226559,0.4,0.1747422680412371,46.9482661644969,Sunny,☀️,0.0
2025-12-28 23:00:00,8.024871130596427,69.30384757729337,0.4,0.1747422680412371,46.444768035073565,Sunny,☀️,0.0
2025-12-29 00:00:00,8.353947506750472,71.25735931288072,0.4,0.6154639175257732,47.03710551215085,Sunny,☀️,0.0
2025-12-29 01:00:00,7.437499999999999,72.5,0.4,0.6154639175257732,45.3875,Sunny,☀️,0.0
2025-12-29 02:00:00,6.370274274578653,73.94708572938488,0.4,0.6154639175257732,43.46649369424158,Sunny,☀️,0.0
2025-12-29 03:00:00,5.225,75.5,0.4,0.5128865979381443,41.405,Sunny,☀️,0.0
2025-12-29 04:00:00,4.079725725421345,77.05291427061513,0.4,0.5128865979381443,39.34350630575842,Sunny,☀️,0.0
2025-12-29 05:00:00,3.0125,78.5,0.4,0.4103092783505154,37.4225,Sunny,☀️,0.0
2025-12-29 06:00:00,2.096052493249528,79.74264068711929,0.4,0.3077319587628866,35.77289448784915,Sunny,☀️,0.0
2025-12-29 07:00:00,1.3928375882538595,80.69615242270663,0.4,0.2051546391752577,34.507107658856945,Sunny,☀️,0.0
2025-12-29 08:00:00,0.9507782186708732,81.29555495773441,0.4,0.2051546391752577,33.711400793607574,Sunny,☀️,0.0
2025-12-29 09:00:00,0.8000000000000007,81.5,0.4,0.2051546391752577,33.44,Sunny,☀️,0.0
2025-12-29 10:00:00,0.950778218670874,81.29555495773441,0.4,0.2051546391752577,33.711400793607574,Sunny,☀️,0.0
2025-12-29 11:00:00,1.39283758825386,80.69615242270663,0.4,0.3077319587628866,34.507107658856945,Sunny,☀️,0.0
2025-12-29 12:00:00,2.096052493249528,79.74264068711929,0.4,0.4103092783505154,35.77289448784915,Sunny,☀️,0.0
